gene_id	gene_name	chromosome	start	end	strand	biotype	biotype_family	length	GC_content	no_of_transcripts
YGR171C	MSM1	VII	840824	842551	-	protein_coding	coding	1727	0.378	1
YGR172C	YIP1	VII	842845	843591	-	protein_coding	coding	746	0.378	1
YGR173W	RBG2	VII	843854	844960	+	protein_coding	coding	1106	0.402	1
tG(GCC)G1		VII	845649	845719	+	tRNA	snoncoding	70	0.571	1
YGR174C	CBP4	VII	845893	846405	-	protein_coding	coding	512	0.441	1
YGR174W-A		VII	846655	846741	+	protein_coding	coding	86	0.302	1
YGR175C	ERG1	VII	846933	848423	-	protein_coding	coding	1490	0.413	1
YGR176W		VII	848720	849067	+	protein_coding	coding	347	0.507	1
YGR177C	ATF2	VII	848829	850436	-	protein_coding	coding	1607	0.405	1
YGR178C	PBP1	VII	851047	853215	-	protein_coding	coding	2168	0.421	1
YGR179C	OKP1	VII	853675	854895	-	protein_coding	coding	1220	0.375	1
YGR180C	RNR4	VII	855264	856301	-	protein_coding	coding	1037	0.411	1
tL(CAA)G3		VII	857378	857491	-	tRNA	snoncoding	113	0.469	1
YGR181W	TIM13	VII	858287	858604	+	protein_coding	coding	317	0.442	1
YGR182C		VII	858551	858904	-	protein_coding	coding	353	0.346	1
YGR183C	QCR9	VII	859063	859476	-	protein_coding	coding	413	0.395	1
YGR184C	UBR1	VII	859901	865753	-	protein_coding	coding	5852	0.367	1
YGR185C	TYS1	VII	866336	867520	-	protein_coding	coding	1184	0.408	1
YGR186W	TFG1	VII	867774	869981	+	protein_coding	coding	2207	0.406	1
YGR187C	HGH1	VII	870232	871416	-	protein_coding	coding	1184	0.362	1
YGR188C	BUB1	VII	872044	875109	-	protein_coding	coding	3065	0.377	1
tK(CUU)G3		VII	876394	876466	+	tRNA	snoncoding	72	0.542	1
YGR189C	CRH1	VII	876669	878192	-	protein_coding	coding	1523	0.434	1
tW(CCA)G2		VII	878710	878815	-	tRNA	snoncoding	105	0.448	1
YGR190C		VII	880296	880661	-	protein_coding	coding	365	0.378	1
YGR191W	HIP1	VII	880420	882231	+	protein_coding	coding	1811	0.409	1
YGR192C	TDH3	VII	882812	883810	-	protein_coding	coding	998	0.471	1
YGR193C	PDX1	VII	884509	885741	-	protein_coding	coding	1232	0.398	1
YGR194C	XKS1	VII	886073	887875	-	protein_coding	coding	1802	0.402	1
YGR195W	SKI6	VII	888882	889622	+	protein_coding	coding	740	0.415	1
YGR196C	FYV8	VII	889733	892186	-	protein_coding	coding	2453	0.394	1
YGR197C	SNG1	VII	892497	894140	-	protein_coding	coding	1643	0.423	1
YGR198W	YPP1	VII	894693	897146	+	protein_coding	coding	2453	0.360	1
YGR199W	PMT6	VII	897502	899781	+	protein_coding	coding	2279	0.379	1
YGR200C	ELP2	VII	899904	902270	-	protein_coding	coding	2366	0.388	1
YGR201C		VII	902520	903197	-	protein_coding	coding	677	0.434	1
YGR202C	PCT1	VII	903474	904748	-	protein_coding	coding	1274	0.422	1
YGR203W	YCH1	VII	905237	905683	+	protein_coding	coding	446	0.545	1
YGR204W	ADE3	VII	905934	908774	+	protein_coding	coding	2840	0.469	1
YGR204C-A		VII	909061	909174	-	protein_coding	coding	113	0.363	1
YGR205W	TDA10	VII	909213	910085	+	protein_coding	coding	872	0.393	1
YGR206W	MVB12	VII	910432	910737	+	protein_coding	coding	305	0.384	1
YGR207C	CIR1	VII	910843	911628	-	protein_coding	coding	785	0.380	1
YGR208W	SER2	VII	911883	912812	+	protein_coding	coding	929	0.410	1
YGR209C	TRX2	VII	912913	913227	-	protein_coding	coding	314	0.430	1
YGR210C		VII	913503	914738	-	protein_coding	coding	1235	0.465	1
YGR211W	ZPR1	VII	915241	916701	+	protein_coding	coding	1460	0.427	1
YGR212W	SLI1	VII	917040	918446	+	protein_coding	coding	1406	0.363	1
YGR213C	RTA1	VII	918512	919465	-	protein_coding	coding	953	0.382	1
YGR214W	RPS0A	VII	920575	921788	+	protein_coding	coding	1213	0.399	1
YGR215W	RSM27	VII	922175	922507	+	protein_coding	coding	332	0.404	1
YGR216C	GPI1	VII	922633	924462	-	protein_coding	coding	1829	0.350	1
YGR217W	CCH1	VII	924696	930815	+	protein_coding	coding	6119	0.376	1
tG(GCC)G2		VII	930953	931023	-	tRNA	snoncoding	70	0.586	1
YGR218W	CRM1	VII	932541	935795	+	protein_coding	coding	3254	0.359	1
YGR219W		VII	936035	936376	+	protein_coding	coding	341	0.390	1
YGR220C	MRPL9	VII	936074	936883	-	protein_coding	coding	809	0.397	1
YGR221C	TOS2	VII	937124	938992	-	protein_coding	coding	1868	0.400	1
snR7-L	SNR7-L	VII	939459	939672	-	snRNA	snoncoding	213	0.446	1
snR7-S	SNR7-S	VII	939494	939672	-	snRNA	snoncoding	178	0.444	1
YGR222W	PET54	VII	939923	940804	+	protein_coding	coding	881	0.368	1
YGR223C	HSV2	VII	940869	942215	-	protein_coding	coding	1346	0.409	1
YGR224W	AZR1	VII	942806	944647	+	protein_coding	coding	1841	0.404	1
YGR225W	AMA1	VII	945145	947019	+	protein_coding	coding	1874	0.380	1
YGR226C		VII	946792	947001	-	protein_coding	coding	209	0.388	1
YGR227W	DIE2	VII	947420	948997	+	protein_coding	coding	1577	0.362	1
YGR228W		VII	949365	949709	+	protein_coding	coding	344	0.346	1
YGR229C	SMI1	VII	949382	950899	-	protein_coding	coding	1517	0.395	1
YGR230W	BNS1	VII	951894	952307	+	protein_coding	coding	413	0.397	1
YGR231C	PHB2	VII	952548	953480	-	protein_coding	coding	932	0.420	1
YGR232W	NAS6	VII	953960	954646	+	protein_coding	coding	686	0.391	1
YGR233C	PHO81	VII	954674	958210	-	protein_coding	coding	3536	0.358	1
YGR234W	YHB1	VII	959904	961103	+	protein_coding	coding	1199	0.399	1
YGR235C		VII	961360	962061	-	protein_coding	coding	701	0.411	1
YGR236C	SPG1	VII	962530	962817	-	protein_coding	coding	287	0.432	1
YGR237C		VII	963298	965655	-	protein_coding	coding	2357	0.387	1
YGR238C	KEL2	VII	966039	968687	-	protein_coding	coding	2648	0.389	1
YGR239C	PEX21	VII	969187	970053	-	protein_coding	coding	866	0.433	1
YGR240C	PFK1	VII	970771	973734	-	protein_coding	coding	2963	0.416	1
YGR240C-A		VII	974577	974777	-	protein_coding	coding	200	0.345	1
YGR241C	YAP1802	VII	974875	976581	-	protein_coding	coding	1706	0.413	1
YGR242W		VII	976415	976723	+	protein_coding	coding	308	0.425	1
YGR243W	MPC3	VII	977336	977776	+	protein_coding	coding	440	0.439	1
YGR244C	LSC2	VII	978036	979319	-	protein_coding	coding	1283	0.422	1
YGR245C	SDA1	VII	979765	982068	-	protein_coding	coding	2303	0.396	1
YGR246C	BRF1	VII	982482	984272	-	protein_coding	coding	1790	0.401	1
YGR247W	CPD1	VII	984966	985685	+	protein_coding	coding	719	0.445	1
YGR248W	SOL4	VII	985972	986739	+	protein_coding	coding	767	0.439	1
YGR249W	MGA1	VII	988049	989419	+	protein_coding	coding	1370	0.409	1
YGR250C	RIE1	VII	991176	993521	-	protein_coding	coding	2345	0.380	1
YGR251W	NOP19	VII	995639	996229	+	protein_coding	coding	590	0.403	1
YGR252W	GCN5	VII	996869	998188	+	protein_coding	coding	1319	0.381	1
YGR253C	PUP2	VII	998358	999140	-	protein_coding	coding	782	0.407	1
YGR254W	ENO1	VII	1000927	1002240	+	protein_coding	coding	1313	0.462	1
YGR255C	COQ6	VII	1002523	1003962	-	protein_coding	coding	1439	0.402	1
tT(UGU)G2		VII	1004216	1004287	+	tRNA	snoncoding	71	0.465	1
YGR256W	GND2	VII	1004624	1006102	+	protein_coding	coding	1478	0.431	1
YGR257C	MTM1	VII	1006205	1007305	-	protein_coding	coding	1100	0.426	1
YGR258C	RAD2	VII	1007671	1010766	-	protein_coding	coding	3095	0.402	1
YGR259C		VII	1012481	1012921	-	protein_coding	coding	440	0.443	1
YGR260W	TNA1	VII	1012485	1014089	+	protein_coding	coding	1604	0.418	1
YGR261C	APL6	VII	1014321	1016750	-	protein_coding	coding	2429	0.375	1
YGR262C	BUD32	VII	1016974	1017759	-	protein_coding	coding	785	0.429	1
YGR263C	SAY1	VII	1017967	1019241	-	protein_coding	coding	1274	0.389	1
YGR264C	MES1	VII	1019598	1021853	-	protein_coding	coding	2255	0.370	1
YGR265W		VII	1021648	1022058	+	protein_coding	coding	410	0.354	1
YGR266W		VII	1022656	1024761	+	protein_coding	coding	2105	0.391	1
YGR267C	FOL2	VII	1025004	1025735	-	protein_coding	coding	731	0.394	1
YGR268C	HUA1	VII	1026057	1026653	-	protein_coding	coding	596	0.507	1
YGR269W		VII	1026636	1026962	+	protein_coding	coding	326	0.399	1
YGR270W	YTA7	VII	1027370	1031509	+	protein_coding	coding	4139	0.384	1
YGR270C-A		VII	1027382	1027600	-	protein_coding	coding	218	0.399	1
YGR271W	SLH1	VII	1031791	1037694	+	protein_coding	coding	5903	0.374	1
YGR271C-A	EFG1	VII	1037800	1038501	-	protein_coding	coding	701	0.330	1
YGR273C		VII	1038715	1039239	-	protein_coding	coding	524	0.370	1
YGR274C	TAF1	VII	1039895	1043095	-	protein_coding	coding	3200	0.372	1
YGR275W	RTT102	VII	1043276	1043749	+	protein_coding	coding	473	0.419	1
YGR276C	RNH70	VII	1043819	1045480	-	protein_coding	coding	1661	0.374	1
YGR277C	CAB4	VII	1045644	1046561	-	protein_coding	coding	917	0.424	1
YGR278W	CWC22	VII	1046731	1048464	+	protein_coding	coding	1733	0.377	1
YGR279C	SCW4	VII	1048798	1049958	-	protein_coding	coding	1160	0.465	1
YGR280C	PXR1	VII	1050910	1051725	-	protein_coding	coding	815	0.420	1
YGR281W	YOR1	VII	1052824	1057257	+	protein_coding	coding	4433	0.379	1
YGR282C	BGL2	VII	1057783	1058724	-	protein_coding	coding	941	0.431	1
YGR283C		VII	1059015	1060040	-	protein_coding	coding	1025	0.385	1
YGR284C	ERV29	VII	1060658	1061590	-	protein_coding	coding	932	0.368	1
YGR285C	ZUO1	VII	1061852	1063153	-	protein_coding	coding	1301	0.443	1
YGR286C	BIO2	VII	1063813	1064940	-	protein_coding	coding	1127	0.424	1
YGR287C	IMA1	VII	1067222	1068991	-	protein_coding	coding	1769	0.423	1
YGR288W	MAL13	VII	1070293	1071714	+	protein_coding	coding	1421	0.412	1
YGR289C	MAL11	VII	1073963	1075813	-	protein_coding	coding	1850	0.407	1
YGR290W		VII	1075482	1075925	+	protein_coding	coding	443	0.359	1
YGR291C		VII	1076283	1076504	-	protein_coding	coding	221	0.398	1
YGR292W	MAL12	VII	1076599	1078353	+	protein_coding	coding	1754	0.404	1
YGR293C		VII	1079885	1080346	-	protein_coding	coding	461	0.412	1
YGR294W	PAU12	VII	1080306	1080668	+	protein_coding	coding	362	0.492	1
YGR295C	COS6	VII	1081584	1082729	-	protein_coding	coding	1145	0.388	1
YGR296W	YRF1-3	VII	1084864	1090591	+	protein_coding	coding	5727	0.448	1
YGR296C-A		VII	1088870	1089445	-	protein_coding	coding	575	0.503	1
YGR296C-B		VII	1089746	1090228	-	protein_coding	coding	482	0.452	1
YLL067C		XII	585	4301	-	protein_coding	coding	3716	0.464	1
YLL067W-A		XII	843	1325	+	protein_coding	coding	482	0.459	1
YLL066W-B		XII	5605	5775	+	protein_coding	coding	170	0.512	1
YLL066C		XII	6120	9836	-	protein_coding	coding	3716	0.463	1
YLL066W-A		XII	6486	6968	+	protein_coding	coding	482	0.459	1
YLL065W	YLL065W	XII	11726	12076	+	protein_coding	coding	350	0.369	1
YLL064C	PAU18	XII	13083	13445	-	protein_coding	coding	362	0.492	1
YLL063C	AYT1	XII	14648	16072	-	protein_coding	coding	1424	0.420	1
YLL062C	MHT1	XII	16639	17613	-	protein_coding	coding	974	0.403	1
YLL061W	MMP1	XII	17956	19707	+	protein_coding	coding	1751	0.428	1
YLL060C	GTT2	XII	21138	21839	-	protein_coding	coding	701	0.462	1
YLL059C		XII	22474	22980	-	protein_coding	coding	506	0.403	1
YLL058W		XII	23569	25296	+	protein_coding	coding	1727	0.421	1
YLL057C	JLP1	XII	25756	26994	-	protein_coding	coding	1238	0.420	1
YLL056C		XII	27409	28305	-	protein_coding	coding	896	0.430	1
YLL055W	YCT1	XII	30109	31704	+	protein_coding	coding	1595	0.387	1
YLL054C		XII	32673	35204	-	protein_coding	coding	2531	0.355	1
YLL053C		XII	35503	35961	-	protein_coding	coding	458	0.461	1
YLL052C	AQY2	XII	35912	36361	-	protein_coding	coding	449	0.465	1
YLL051C	FRE6	XII	37333	39471	-	protein_coding	coding	2138	0.395	1
YLL050C	COF1	XII	39804	40414	-	protein_coding	coding	610	0.382	1
YLL049W	LDB18	XII	40666	41205	+	protein_coding	coding	539	0.378	1
YLL048C	YBT1	XII	41280	46265	-	protein_coding	coding	4985	0.371	1
YLL047W		XII	46672	47055	+	protein_coding	coding	383	0.350	1
YLL046C	RNP1	XII	46714	47463	-	protein_coding	coding	749	0.334	1
YLL045C	RPL8B	XII	47859	48629	-	protein_coding	coding	770	0.452	1
YLL044W		XII	48216	48662	+	protein_coding	coding	446	0.439	1
YLL043W	FPS1	XII	49938	51947	+	protein_coding	coding	2009	0.423	1
YLL042C	ATG10	XII	52087	52590	-	protein_coding	coding	503	0.376	1
YLL041C	SDH2	XII	53131	53931	-	protein_coding	coding	800	0.421	1
YLL040C	VPS13	XII	54211	63645	-	protein_coding	coding	9434	0.376	1
YLL039C	UBI4	XII	64062	65207	-	protein_coding	coding	1145	0.415	1
YLL038C	ENT4	XII	65775	66518	-	protein_coding	coding	743	0.466	1
YLL037W		XII	66562	66942	+	protein_coding	coding	380	0.363	1
YLL036C	PRP19	XII	66745	68256	-	protein_coding	coding	1511	0.407	1
YLL035W	GRC3	XII	68580	70478	+	protein_coding	coding	1898	0.390	1
YLL034C	RIX7	XII	70633	73146	-	protein_coding	coding	2513	0.390	1
YLL033W	IRC19	XII	73409	74101	+	protein_coding	coding	692	0.358	1
YLL032C		XII	74270	76747	-	protein_coding	coding	2477	0.346	1
YLL031C	GPI13	XII	77152	80205	-	protein_coding	coding	3053	0.374	1
YLL030C	RRT7	XII	80356	80697	-	protein_coding	coding	341	0.349	1
YLL029W	FRA1	XII	81461	83710	+	protein_coding	coding	2249	0.427	1
YLL028W	TPO1	XII	84804	86564	+	protein_coding	coding	1760	0.448	1
YLL027W	ISA1	XII	87403	88155	+	protein_coding	coding	752	0.456	1
YLL026W	HSP104	XII	88623	91349	+	protein_coding	coding	2726	0.401	1
tP(UGG)L		XII	92548	92650	+	tRNA	snoncoding	102	0.559	1
YLL025W	PAU17	XII	94747	95121	+	protein_coding	coding	374	0.479	1
YLL024C	SSA2	XII	95566	97485	-	protein_coding	coding	1919	0.436	1
YLL023C	POM33	XII	97997	98836	-	protein_coding	coding	839	0.435	1
YLL022C	HIF1	XII	99044	100201	-	protein_coding	coding	1157	0.466	1
YLL021W	SPA2	XII	100947	105347	+	protein_coding	coding	4400	0.402	1
YLL020C		XII	105556	105861	-	protein_coding	coding	305	0.331	1
YLL019C	KNS1	XII	105686	107899	-	protein_coding	coding	2213	0.420	1
YLL019W-A		XII	106908	107000	+	protein_coding	coding	92	0.467	1
YLL018C-A	COX19	XII	108676	108972	-	protein_coding	coding	296	0.486	1
YLL018C	DPS1	XII	109902	111575	-	protein_coding	coding	1673	0.444	1
YLL017W	YLL017W	XII	112234	112545	+	pseudogene	pseudogene	311	0.431	1
YLL016W	SDC25	XII	112847	115993	+	pseudogene	pseudogene	3146	0.368	1
YLL015W	BPT1	XII	116432	121111	+	protein_coding	coding	4679	0.368	1
YLL014W	EMC6	XII	121322	121648	+	protein_coding	coding	326	0.390	1
YLL013C	PUF3	XII	122075	124714	-	protein_coding	coding	2639	0.409	1
YLL012W	YEH1	XII	125534	127255	+	protein_coding	coding	1721	0.416	1
YLL011W	SOF1	XII	127523	128992	+	protein_coding	coding	1469	0.381	1
YLL010C	PSR1	XII	129330	130613	-	protein_coding	coding	1283	0.421	1
YLL009C	COX17	XII	131205	131414	-	protein_coding	coding	209	0.416	1
YLL008W	DRS1	XII	131729	133987	+	protein_coding	coding	2258	0.410	1
YLL007C	LMO1	XII	134302	136299	-	protein_coding	coding	1997	0.359	1
YLL006W-A		XII	136345	136521	+	protein_coding	coding	176	0.364	1
YLL006W	MMM1	XII	136586	137866	+	protein_coding	coding	1280	0.382	1
YLL005C	SPO75	XII	137940	140546	-	protein_coding	coding	2606	0.332	1
YLL004W	ORC3	XII	141073	142923	+	protein_coding	coding	1850	0.355	1
YLL003W	SFI1	XII	143201	146041	+	protein_coding	coding	2840	0.366	1
YLL002W	RTT109	XII	146291	147601	+	protein_coding	coding	1310	0.391	1
YLL001W	DNM1	XII	147890	150163	+	protein_coding	coding	2273	0.378	1
YLR001C		XII	151389	153977	-	protein_coding	coding	2588	0.369	1
YLR002C	NOC3	XII	154343	156334	-	protein_coding	coding	1991	0.377	1
YLR003C	CMS1	XII	156855	157730	-	protein_coding	coding	875	0.339	1
YLR004C	THI73	XII	157934	159505	-	protein_coding	coding	1571	0.401	1
YLR005W	SSL1	XII	160049	161434	+	protein_coding	coding	1385	0.408	1
YLR006C	SSK1	XII	161755	163893	-	protein_coding	coding	2138	0.414	1
YLR007W	NSE1	XII	164392	165402	+	protein_coding	coding	1010	0.415	1
YLR008C	PAM18	XII	165577	166083	-	protein_coding	coding	506	0.385	1
YLR009W	RLP24	XII	166537	167136	+	protein_coding	coding	599	0.386	1
YLR010C	TEN1	XII	167320	167802	-	protein_coding	coding	482	0.357	1
tS(AGA)L		XII	167944	168025	-	tRNA	snoncoding	81	0.531	1
YLR011W	LOT6	XII	169103	169678	+	protein_coding	coding	575	0.423	1
YLR012C		XII	169982	170281	-	protein_coding	coding	299	0.368	1
YLR013W	GAT3	XII	171339	171764	+	protein_coding	coding	425	0.398	1
YLR014C	PPR1	XII	172268	174982	-	protein_coding	coding	2714	0.385	1
YLR015W	BRE2	XII	175227	176744	+	protein_coding	coding	1517	0.397	1
YLR016C	PML1	XII	176802	177416	-	protein_coding	coding	614	0.425	1
YLR017W	MEU1	XII	177608	178621	+	protein_coding	coding	1013	0.425	1
YLR018C	POM34	XII	178707	179606	-	protein_coding	coding	899	0.438	1
YLR019W	PSR2	XII	180288	181481	+	protein_coding	coding	1193	0.431	1
YLR020C	YEH2	XII	181789	183405	-	protein_coding	coding	1616	0.383	1
YLR021W	IRC25	XII	183623	184162	+	protein_coding	coding	539	0.399	1
YLR022C	SDO1	XII	184174	184926	-	protein_coding	coding	752	0.376	1
YLR023C	IZH3	XII	185498	187129	-	protein_coding	coding	1631	0.392	1
YLR024C	UBR2	XII	187663	193281	-	protein_coding	coding	5618	0.355	1
YLR025W	SNF7	XII	194452	195174	+	protein_coding	coding	722	0.402	1
YLR026C	SED5	XII	195450	196472	-	protein_coding	coding	1022	0.396	1
YLR027C	AAT2	XII	196829	198085	-	protein_coding	coding	1256	0.459	1
snR30	SNR30	XII	198784	199389	+	snoRNA	snoncoding	605	0.468	1
YLR028C	ADE16	XII	199540	201315	-	protein_coding	coding	1775	0.432	1
YLR029C	RPL15A	XII	201976	202590	-	protein_coding	coding	614	0.433	1
YLR030W		XII	203290	204081	+	protein_coding	coding	791	0.410	1
YLR031W		XII	204225	204785	+	protein_coding	coding	560	0.343	1
YLR032W	RAD5	XII	204991	208500	+	protein_coding	coding	3509	0.380	1
YLR033W	RSC58	XII	208761	210269	+	protein_coding	coding	1508	0.349	1
YLR034C	SMF3	XII	210512	211933	-	protein_coding	coding	1421	0.388	1
YLR035C	MLH2	XII	212369	214456	-	protein_coding	coding	2087	0.384	1
tA(UGC)L		XII	214883	214955	-	tRNA	snoncoding	72	0.611	1
YLR035C-A		XII	215440	218907	-	transposable_element		3467	0.375	1
YLR036C		XII	221521	222132	-	protein_coding	coding	611	0.340	1
YLR037C	PAU23	XII	222685	223059	-	protein_coding	coding	374	0.465	1
YLR038C	COX12	XII	224921	225172	-	protein_coding	coding	251	0.402	1
YLR039C	RIC1	XII	225426	228596	-	protein_coding	coding	3170	0.345	1
YLR040C	AFB1	XII	228908	229582	-	protein_coding	coding	674	0.426	1
YLR041W		XII	229377	229697	+	protein_coding	coding	320	0.384	1
YLR042C		XII	229966	230451	-	protein_coding	coding	485	0.396	1
YLR043C	TRX1	XII	231702	232013	-	protein_coding	coding	311	0.415	1
YLR044C	PDC1	XII	232390	234081	-	protein_coding	coding	1691	0.454	1
YLR045C	STU2	XII	235037	237703	-	protein_coding	coding	2666	0.396	1
YLR046C	YLR046C	XII	238001	238813	-	protein_coding	coding	812	0.379	1
YLR047C	FRE8	XII	239347	241407	-	protein_coding	coding	2060	0.384	1
YLR048W	RPS0B	XII	242232	243349	+	protein_coding	coding	1117	0.409	1
YLR049C		XII	243886	245172	-	protein_coding	coding	1286	0.359	1
YLR050C		XII	245587	246072	-	protein_coding	coding	485	0.408	1
YLR051C	FCF2	XII	246324	246977	-	protein_coding	coding	653	0.381	1
YLR052W	IES3	XII	247201	247953	+	protein_coding	coding	752	0.395	1
YLR053C		XII	248100	248426	-	protein_coding	coding	326	0.368	1
YLR054C	OSW2	XII	248717	250978	-	protein_coding	coding	2261	0.378	1
YLR055C	SPT8	XII	251272	253080	-	protein_coding	coding	1808	0.476	1
YLR056W	ERG3	XII	253861	254958	+	protein_coding	coding	1097	0.431	1
YLR057W	MNL2	XII	255306	257855	+	protein_coding	coding	2549	0.381	1
YLR058C	SHM2	XII	257992	259401	-	protein_coding	coding	1409	0.427	1
YLR059C	REX2	XII	259738	260547	-	protein_coding	coding	809	0.482	1
YLR060W	FRS1	XII	260979	262766	+	protein_coding	coding	1787	0.414	1
YLR061W	RPL22A	XII	263194	263948	+	protein_coding	coding	754	0.367	1
YLR062C	BUD28	XII	263577	263954	-	protein_coding	coding	377	0.424	1
YLR063W	BMT6	XII	264157	265254	+	protein_coding	coding	1097	0.380	1
YLR064W	PER33	XII	265456	266277	+	protein_coding	coding	821	0.364	1
YLR065C	ENV10	XII	266373	266918	-	protein_coding	coding	545	0.383	1
YLR066W	SPC3	XII	267169	267723	+	protein_coding	coding	554	0.348	1
YLR067C	PET309	XII	267813	270710	-	protein_coding	coding	2897	0.357	1
YLR068W	FYV7	XII	271008	271463	+	protein_coding	coding	455	0.378	1
YLR069C	MEF1	XII	271630	273915	-	protein_coding	coding	2285	0.402	1
YLR070C	XYL2	XII	274141	275211	-	protein_coding	coding	1070	0.446	1
YLR071C	RGR1	XII	275378	278626	-	protein_coding	coding	3248	0.366	1
YLR072W	LAM6	XII	278862	280943	+	protein_coding	coding	2081	0.432	1
YLR073C	RFU1	XII	281019	281621	-	protein_coding	coding	602	0.427	1
YLR074C	BUD20	XII	281956	282456	-	protein_coding	coding	500	0.478	1
YLR075W	RPL10	XII	282927	283592	+	protein_coding	coding	665	0.442	1
YLR076C		XII	283185	283607	-	protein_coding	coding	422	0.438	1
YLR077W	FMP25	XII	283872	285623	+	protein_coding	coding	1751	0.413	1
YLR078C	BOS1	XII	285736	286559	-	protein_coding	coding	823	0.386	1
YLR079W	SIC1	XII	286820	287674	+	protein_coding	coding	854	0.432	1
YLR080W	EMP46	XII	287916	289250	+	protein_coding	coding	1334	0.387	1
YLR081W	GAL2	XII	290212	291936	+	protein_coding	coding	1724	0.422	1
YLR082C	SRL2	XII	292394	293572	-	protein_coding	coding	1178	0.366	1
YLR083C	EMP70	XII	294091	296094	-	protein_coding	coding	2003	0.379	1
YLR084C	RAX2	XII	296589	300251	-	protein_coding	coding	3662	0.379	1
YLR085C	ARP6	XII	300673	301989	-	protein_coding	coding	1316	0.408	1
YLR086W	SMC4	XII	302243	306499	+	protein_coding	coding	4256	0.379	1
YLR087C	CSF1	XII	306855	315731	-	protein_coding	coding	8876	0.375	1
YLR088W	GAA1	XII	316107	317951	+	protein_coding	coding	1844	0.377	1
YLR089C	ALT1	XII	318237	320015	-	protein_coding	coding	1778	0.406	1
YLR090W	XDJ1	XII	320701	322080	+	protein_coding	coding	1379	0.439	1
YLR091W	GEP5	XII	322297	323178	+	protein_coding	coding	881	0.461	1
YLR092W	SUL2	XII	323544	326225	+	protein_coding	coding	2681	0.417	1
YLR093C	NYV1	XII	326513	327415	-	protein_coding	coding	902	0.373	1
YLR094C	GIS3	XII	327730	329238	-	protein_coding	coding	1508	0.454	1
YLR095C	IOC2	XII	329677	332115	-	protein_coding	coding	2438	0.423	1
YLR096W	KIN2	XII	332590	336033	+	protein_coding	coding	3443	0.396	1
YLR097C	HRT3	XII	336231	337265	-	protein_coding	coding	1034	0.366	1
YLR098C	CHA4	XII	337527	339473	-	protein_coding	coding	1946	0.378	1
YLR099C	ICT1	XII	339744	340928	-	protein_coding	coding	1184	0.465	1
YLR099W-A	MIM2	XII	341325	341588	+	protein_coding	coding	263	0.525	1
YLR100W	ERG27	XII	341810	342853	+	protein_coding	coding	1043	0.414	1
YLR101C		XII	342566	342961	-	protein_coding	coding	395	0.380	1
YLR102C	APC9	XII	342970	343767	-	protein_coding	coding	797	0.418	1
YLR103C	CDC45	XII	343989	345941	-	protein_coding	coding	1952	0.384	1
YLR104W	LCL2	XII	346585	346980	+	protein_coding	coding	395	0.418	1
YLR105C	SEN2	XII	347047	348180	-	protein_coding	coding	1133	0.402	1
snR79	SNR79	XII	348427	348510	-	snoRNA	snoncoding	83	0.349	1
YLR106C	MDN1	XII	349006	363738	-	protein_coding	coding	14732	0.377	1
YLR107W	REX3	XII	364116	365330	+	protein_coding	coding	1214	0.367	1
snR6	SNR6	XII	366235	366346	+	snRNA	snoncoding	111	0.387	1
YLR108C		XII	366667	368124	-	protein_coding	coding	1457	0.379	1
YLR109W	AHP1	XII	368781	369311	+	protein_coding	coding	530	0.449	1
YLR110C	CCW12	XII	369697	370098	-	protein_coding	coding	401	0.521	1
YLR111W		XII	370391	370723	+	protein_coding	coding	332	0.479	1
YLR112W		XII	370791	371210	+	protein_coding	coding	419	0.425	1
YLR113W	HOG1	XII	371620	372927	+	protein_coding	coding	1307	0.430	1
tR(ACG)L		XII	374355	374427	+	tRNA	snoncoding	72	0.597	1
YLR114C	AVL9	XII	374944	377238	-	protein_coding	coding	2294	0.388	1
YLR115W	CFT2	XII	377985	380564	+	protein_coding	coding	2579	0.377	1
YLR116W	MSL5	XII	380822	382252	+	protein_coding	coding	1430	0.429	1
YLR117C	CLF1	XII	382471	384534	-	protein_coding	coding	2063	0.374	1
YLR118C	YLR118C	XII	384725	385408	-	protein_coding	coding	683	0.397	1
YLR119W	SRN2	XII	385534	386175	+	protein_coding	coding	641	0.349	1
YLR120C	YPS1	XII	386511	388220	-	protein_coding	coding	1709	0.435	1
YLR120W-A		XII	388672	388773	+	protein_coding	coding	101	0.327	1
YLR121C	YPS3	XII	388744	390270	-	protein_coding	coding	1526	0.490	1
YLR122C		XII	390954	391331	-	protein_coding	coding	377	0.416	1
YLR123C		XII	391078	391407	-	protein_coding	coding	329	0.413	1
YLR124W		XII	391600	391944	+	protein_coding	coding	344	0.398	1
YLR125W		XII	393484	393894	+	protein_coding	coding	410	0.407	1
YLR126C		XII	394765	395520	-	protein_coding	coding	755	0.389	1
YLR127C	APC2	XII	395758	398319	-	protein_coding	coding	2561	0.348	1
YLR128W	DCN1	XII	398530	399433	+	protein_coding	coding	903	0.401	1
YLR129W	DIP2	XII	399657	402488	+	protein_coding	coding	2831	0.381	1
YLR130C	ZRT2	XII	402794	404062	-	protein_coding	coding	1268	0.420	1
YLR131C	ACE2	XII	404510	406822	-	protein_coding	coding	2312	0.409	1
YLR132C	USB1	XII	407283	408155	-	protein_coding	coding	872	0.383	1
YLR133W	CKI1	XII	408445	410193	+	protein_coding	coding	1748	0.412	1
YLR134W	PDC5	XII	410723	412414	+	protein_coding	coding	1691	0.422	1
